ID,Longitude,Latitude,School_Address,School_City,State,School_Zip_Code
1987,-81.875773,31.583503000000004,1175 S US Highway 301,Jesup,GA,31546-4754
1988,-81.874999,31.624981,1206 N 4th St,Jesup,GA,31545-0912
1989,-81.902816,31.616463,1425 W Orange St,Jesup,GA,31545-0717
1990,-81.875574,31.584653999999997,1155 S US Highway 301,Jesup,GA,31546-4754
1991,-82.02139100000001,31.48645,414 School St,Screven,GA,31560-8402
1992,-82.031526,31.670447999999997,1 Blue Jay Drive,Odum,GA,31555-6722
1993,-84.54190600000001,32.062447999999996,7168 Washington St,Preston,GA,31824-5232
1994,-84.54190600000001,32.062447999999996,7168 Washington St,Preston,GA,31824-5232
1995,-82.772886,32.146736,63 S Commerce St,Alamo,GA,30411-3918
1996,-82.776619,32.153971000000006,50 Snowhill Road,Alamo,GA,30411-3719
1997,-82.776619,32.153971000000006,50 Snowhill Rd,Alamo,GA,30411-3719
1998,-83.79610699999999,34.611577000000004,2696 Tesnatee Gap Valley Rd,Cleveland,GA,30528-3888
1999,-83.699023,34.657229,1161 Duncan Bridge Rd,Sautee Nacoochee,GA,30571-3608
2000,-83.792445,34.618003,2600 Highway 129 N,Cleveland,GA,30528-2710
2001,-83.757039,34.540248999999996,128 Horace Fitzpatrick Dr,Cleveland,GA,30528-5833
2002,-83.770239,34.602676,283 Old Blairsville Rd,Cleveland,GA,30528-1133
2003,-83.769982,34.598337,342 W Kytle St,Cleveland,GA,30528-1334
2004,-84.984663,34.876839000000004,1111 New Hope Rd NW,Dalton,GA,30720-6338
2005,-84.917372,34.900683,3361 Crow Rd NE,Dalton,GA,30721-1022
2006,-84.997392,34.876928,1651 Tunnel Hill Varnell Rd,Tunnel Hill,GA,30755-9247
2007,-84.985796,34.873017,1175 New Hope Rd NW,Dalton,GA,30720-6338
2008,-84.863837,34.906233,1350 Prater Mill Rd NE,Dalton,GA,30721-7271
2009,-84.885226,34.771121,311 Cedar Ridge Rd SE,Dalton,GA,30721-6528
2010,-84.921634,34.783065,2300 Maddox Chapel Rd NE,Dalton,GA,30721-6645
2011,-84.939513,34.733138000000004,1954 Riverbend Rd,Dalton,GA,30721-5517
2012,-84.930728,34.745894,700 Hill Rd,Dalton,GA,30721-5963
2013,-84.942778,34.862083,3264 Cleveland Hwy,Dalton,GA,30721-2027
2014,-84.989235,34.681276000000004,3796 S Dixie Rd,Dalton,GA,30721-4959
2015,-85.05066500000001,34.785677,580 Lafayette Rd SW,Rocky Face,GA,30740-9411
2016,-84.934327,34.740505999999996,1819 Riverbend Rd,Dalton,GA,30721-5979
2017,-84.92825699999999,34.758523,102 Hill Rd,Dalton,GA,30721-6023
2018,-84.943065,34.896436,3900 Cleveland Rd,Dalton,GA,30721-7443
2019,-84.94878,34.961022,254 Wolfe St,Cohutta,GA,30710-9138
2020,-84.94586,34.83079,2725 Cleveland Hwy,Dalton,GA,30721-8163
2021,-85.049788,34.782959999999996,1815 Utility Rd,Rocky Face,GA,30740-9412
2022,-84.877863,34.820772,1380 Dawnville Rd NE,Dalton,GA,30721-6807
2023,-85.044924,34.845911,203 E School St,Tunnel Hill,GA,30755-9719
2024,-85.000613,34.733476,2032 Dug Gap Rd,Dalton,GA,30720-5724
2025,-84.986796,34.680768,3798 S Dixie Rd,Dalton,GA,30721-4959
2026,-83.445,31.939733,1358 Ga Highway 215 S,Rochelle,GA,31079
2027,-83.445,31.939733,1358 Ga Highway 215 S,Rochelle,GA,31079
2028,-83.445,31.939733,1358 Ga Highway 215 S,Rochelle,GA,31079
2029,-82.72076899999999,33.729125,910 E Robert Toombs Ave,Washington,GA,30673-2050
2030,-82.73389499999999,33.760456,1182 Tignall Rd,Washington,GA,30673-2401
2031,-82.725329,33.734621999999995,109 East St,Washington,GA,30673-5330
2032,-82.73413000000001,33.760326,1180 Tignall Rd,Washington,GA,30673-2401
2033,-83.199946,32.813712,12516 Ga Highway 57,Irwinton,GA,31042-2867
2034,-83.212007,32.824813,11471 Ga Highway 57,Mc Intyre,GA,31054-2835
2035,-83.199955,32.813712,12516 Georgia Highway 57 East,Irwinton,GA,31042-2815
2036,-83.213992,32.82496,11481 Ga Highway 57,Mc Intyre,GA,31054-2835
2037,-83.838247,31.553676,1906 Ga Highway 313,Sylvester,GA,31791-7328
